Time	Node	Type	Packets	
0.5	0	CacheHits	0
0.5	0	CacheMisses	0
0.5	1	CacheHits	0
0.5	1	CacheMisses	0
0.5	2	CacheHits	0
0.5	2	CacheMisses	0
0.5	3	CacheHits	0
0.5	3	CacheMisses	0
0.5	4	CacheHits	0
0.5	4	CacheMisses	0
0.5	5	CacheHits	0
0.5	5	CacheMisses	0
0.5	6	CacheHits	0
0.5	6	CacheMisses	0
0.5	7	CacheHits	0
0.5	7	CacheMisses	0
0.5	8	CacheHits	0
0.5	8	CacheMisses	0
0.5	9	CacheHits	0
0.5	9	CacheMisses	0
0.5	10	CacheHits	0
0.5	10	CacheMisses	0
0.5	11	CacheHits	0
0.5	11	CacheMisses	0
0.5	12	CacheHits	0
0.5	12	CacheMisses	0
0.5	13	CacheHits	0
0.5	13	CacheMisses	0
0.5	14	CacheHits	0
0.5	14	CacheMisses	0
0.5	15	CacheHits	0
0.5	15	CacheMisses	0
0.5	16	CacheHits	0
0.5	16	CacheMisses	0
0.5	17	CacheHits	0
0.5	17	CacheMisses	0
0.5	18	CacheHits	0
0.5	18	CacheMisses	0
0.5	19	CacheHits	0
0.5	19	CacheMisses	0
0.5	20	CacheHits	0
0.5	20	CacheMisses	0
0.5	21	CacheHits	0
0.5	21	CacheMisses	0
0.5	22	CacheHits	0
0.5	22	CacheMisses	0
0.5	23	CacheHits	0
0.5	23	CacheMisses	0
0.5	24	CacheHits	0
0.5	24	CacheMisses	0
0.5	25	CacheHits	0
0.5	25	CacheMisses	0
0.5	26	CacheHits	0
0.5	26	CacheMisses	0
0.5	27	CacheHits	0
0.5	27	CacheMisses	0
0.5	28	CacheHits	0
0.5	28	CacheMisses	1
0.5	29	CacheHits	0
0.5	29	CacheMisses	1
0.5	30	CacheHits	0
0.5	30	CacheMisses	2
0.5	31	CacheHits	0
0.5	31	CacheMisses	2
0.5	32	CacheHits	0
0.5	32	CacheMisses	2
0.5	33	CacheHits	0
0.5	33	CacheMisses	0
1	0	CacheHits	0
1	0	CacheMisses	2
1	1	CacheHits	0
1	1	CacheMisses	2
1	2	CacheHits	0
1	2	CacheMisses	2
1	3	CacheHits	0
1	3	CacheMisses	2
1	4	CacheHits	0
1	4	CacheMisses	2
1	5	CacheHits	0
1	5	CacheMisses	2
1	6	CacheHits	0
1	6	CacheMisses	2
1	7	CacheHits	0
1	7	CacheMisses	2
1	8	CacheHits	0
1	8	CacheMisses	2
1	9	CacheHits	0
1	9	CacheMisses	2
1	10	CacheHits	0
1	10	CacheMisses	2
1	11	CacheHits	0
1	11	CacheMisses	2
1	12	CacheHits	0
1	12	CacheMisses	2
1	13	CacheHits	0
1	13	CacheMisses	2
1	14	CacheHits	0
1	14	CacheMisses	2
1	15	CacheHits	0
1	15	CacheMisses	2
1	16	CacheHits	0
1	16	CacheMisses	2
1	17	CacheHits	0
1	17	CacheMisses	2
1	18	CacheHits	0
1	18	CacheMisses	2
1	19	CacheHits	0
1	19	CacheMisses	2
1	20	CacheHits	0
1	20	CacheMisses	2
1	21	CacheHits	0
1	21	CacheMisses	2
1	22	CacheHits	0
1	22	CacheMisses	2
1	23	CacheHits	0
1	23	CacheMisses	2
1	24	CacheHits	0
1	24	CacheMisses	2
1	25	CacheHits	0
1	25	CacheMisses	2
1	26	CacheHits	0
1	26	CacheMisses	2
1	27	CacheHits	0
1	27	CacheMisses	2
1	28	CacheHits	0
1	28	CacheMisses	2
1	29	CacheHits	0
1	29	CacheMisses	2
1	30	CacheHits	0
1	30	CacheMisses	2
1	31	CacheHits	0
1	31	CacheMisses	2
1	32	CacheHits	0
1	32	CacheMisses	2
1	33	CacheHits	0
1	33	CacheMisses	0
1.5	0	CacheHits	0
1.5	0	CacheMisses	0
1.5	1	CacheHits	0
1.5	1	CacheMisses	0
1.5	2	CacheHits	0
1.5	2	CacheMisses	0
1.5	3	CacheHits	0
1.5	3	CacheMisses	0
1.5	4	CacheHits	0
1.5	4	CacheMisses	0
1.5	5	CacheHits	0
1.5	5	CacheMisses	0
1.5	6	CacheHits	0
1.5	6	CacheMisses	0
1.5	7	CacheHits	0
1.5	7	CacheMisses	0
1.5	8	CacheHits	0
1.5	8	CacheMisses	0
1.5	9	CacheHits	0
1.5	9	CacheMisses	0
1.5	10	CacheHits	0
1.5	10	CacheMisses	0
1.5	11	CacheHits	0
1.5	11	CacheMisses	0
1.5	12	CacheHits	0
1.5	12	CacheMisses	0
1.5	13	CacheHits	0
1.5	13	CacheMisses	0
1.5	14	CacheHits	0
1.5	14	CacheMisses	0
1.5	15	CacheHits	0
1.5	15	CacheMisses	0
1.5	16	CacheHits	0
1.5	16	CacheMisses	0
1.5	17	CacheHits	0
1.5	17	CacheMisses	0
1.5	18	CacheHits	0
1.5	18	CacheMisses	0
1.5	19	CacheHits	0
1.5	19	CacheMisses	0
1.5	20	CacheHits	0
1.5	20	CacheMisses	0
1.5	21	CacheHits	0
1.5	21	CacheMisses	0
1.5	22	CacheHits	0
1.5	22	CacheMisses	0
1.5	23	CacheHits	0
1.5	23	CacheMisses	0
1.5	24	CacheHits	0
1.5	24	CacheMisses	0
1.5	25	CacheHits	0
1.5	25	CacheMisses	0
1.5	26	CacheHits	0
1.5	26	CacheMisses	0
1.5	27	CacheHits	0
1.5	27	CacheMisses	0
1.5	28	CacheHits	0
1.5	28	CacheMisses	0
1.5	29	CacheHits	0
1.5	29	CacheMisses	0
1.5	30	CacheHits	0
1.5	30	CacheMisses	0
1.5	31	CacheHits	0
1.5	31	CacheMisses	0
1.5	32	CacheHits	0
1.5	32	CacheMisses	0
1.5	33	CacheHits	0
1.5	33	CacheMisses	0
2	0	CacheHits	0
2	0	CacheMisses	0
2	1	CacheHits	0
2	1	CacheMisses	0
2	2	CacheHits	0
2	2	CacheMisses	0
2	3	CacheHits	0
2	3	CacheMisses	0
2	4	CacheHits	0
2	4	CacheMisses	0
2	5	CacheHits	0
2	5	CacheMisses	0
2	6	CacheHits	0
2	6	CacheMisses	0
2	7	CacheHits	0
2	7	CacheMisses	0
2	8	CacheHits	0
2	8	CacheMisses	0
2	9	CacheHits	0
2	9	CacheMisses	0
2	10	CacheHits	0
2	10	CacheMisses	0
2	11	CacheHits	0
2	11	CacheMisses	0
2	12	CacheHits	0
2	12	CacheMisses	0
2	13	CacheHits	0
2	13	CacheMisses	0
2	14	CacheHits	0
2	14	CacheMisses	0
2	15	CacheHits	0
2	15	CacheMisses	0
2	16	CacheHits	0
2	16	CacheMisses	0
2	17	CacheHits	0
2	17	CacheMisses	0
2	18	CacheHits	0
2	18	CacheMisses	0
2	19	CacheHits	0
2	19	CacheMisses	0
2	20	CacheHits	0
2	20	CacheMisses	0
2	21	CacheHits	0
2	21	CacheMisses	0
2	22	CacheHits	0
2	22	CacheMisses	0
2	23	CacheHits	0
2	23	CacheMisses	0
2	24	CacheHits	0
2	24	CacheMisses	0
2	25	CacheHits	0
2	25	CacheMisses	0
2	26	CacheHits	0
2	26	CacheMisses	0
2	27	CacheHits	0
2	27	CacheMisses	0
2	28	CacheHits	0
2	28	CacheMisses	0
2	29	CacheHits	0
2	29	CacheMisses	0
2	30	CacheHits	0
2	30	CacheMisses	0
2	31	CacheHits	0
2	31	CacheMisses	0
2	32	CacheHits	0
2	32	CacheMisses	0
2	33	CacheHits	0
2	33	CacheMisses	0
2.5	0	CacheHits	0
2.5	0	CacheMisses	0
2.5	1	CacheHits	0
2.5	1	CacheMisses	0
2.5	2	CacheHits	0
2.5	2	CacheMisses	0
2.5	3	CacheHits	0
2.5	3	CacheMisses	0
2.5	4	CacheHits	0
2.5	4	CacheMisses	0
2.5	5	CacheHits	0
2.5	5	CacheMisses	0
2.5	6	CacheHits	0
2.5	6	CacheMisses	0
2.5	7	CacheHits	0
2.5	7	CacheMisses	0
2.5	8	CacheHits	0
2.5	8	CacheMisses	0
2.5	9	CacheHits	0
2.5	9	CacheMisses	0
2.5	10	CacheHits	0
2.5	10	CacheMisses	0
2.5	11	CacheHits	0
2.5	11	CacheMisses	0
2.5	12	CacheHits	0
2.5	12	CacheMisses	0
2.5	13	CacheHits	0
2.5	13	CacheMisses	0
2.5	14	CacheHits	0
2.5	14	CacheMisses	0
2.5	15	CacheHits	0
2.5	15	CacheMisses	0
2.5	16	CacheHits	0
2.5	16	CacheMisses	0
2.5	17	CacheHits	0
2.5	17	CacheMisses	0
2.5	18	CacheHits	0
2.5	18	CacheMisses	0
2.5	19	CacheHits	0
2.5	19	CacheMisses	0
2.5	20	CacheHits	0
2.5	20	CacheMisses	0
2.5	21	CacheHits	0
2.5	21	CacheMisses	0
2.5	22	CacheHits	0
2.5	22	CacheMisses	0
2.5	23	CacheHits	0
2.5	23	CacheMisses	0
2.5	24	CacheHits	0
2.5	24	CacheMisses	0
2.5	25	CacheHits	0
2.5	25	CacheMisses	0
2.5	26	CacheHits	0
2.5	26	CacheMisses	0
2.5	27	CacheHits	0
2.5	27	CacheMisses	0
2.5	28	CacheHits	0
2.5	28	CacheMisses	0
2.5	29	CacheHits	0
2.5	29	CacheMisses	0
2.5	30	CacheHits	0
2.5	30	CacheMisses	0
2.5	31	CacheHits	0
2.5	31	CacheMisses	0
2.5	32	CacheHits	0
2.5	32	CacheMisses	0
2.5	33	CacheHits	0
2.5	33	CacheMisses	0
3	0	CacheHits	0
3	0	CacheMisses	2
3	1	CacheHits	0
3	1	CacheMisses	2
3	2	CacheHits	0
3	2	CacheMisses	2
3	3	CacheHits	0
3	3	CacheMisses	2
3	4	CacheHits	0
3	4	CacheMisses	2
3	5	CacheHits	0
3	5	CacheMisses	2
3	6	CacheHits	0
3	6	CacheMisses	2
3	7	CacheHits	0
3	7	CacheMisses	2
3	8	CacheHits	0
3	8	CacheMisses	2
3	9	CacheHits	0
3	9	CacheMisses	2
3	10	CacheHits	0
3	10	CacheMisses	2
3	11	CacheHits	0
3	11	CacheMisses	2
3	12	CacheHits	0
3	12	CacheMisses	2
3	13	CacheHits	0
3	13	CacheMisses	2
3	14	CacheHits	0
3	14	CacheMisses	2
3	15	CacheHits	0
3	15	CacheMisses	2
3	16	CacheHits	0
3	16	CacheMisses	2
3	17	CacheHits	0
3	17	CacheMisses	2
3	18	CacheHits	0
3	18	CacheMisses	2
3	19	CacheHits	0
3	19	CacheMisses	2
3	20	CacheHits	0
3	20	CacheMisses	2
3	21	CacheHits	0
3	21	CacheMisses	2
3	22	CacheHits	0
3	22	CacheMisses	2
3	23	CacheHits	0
3	23	CacheMisses	2
3	24	CacheHits	0
3	24	CacheMisses	2
3	25	CacheHits	0
3	25	CacheMisses	2
3	26	CacheHits	0
3	26	CacheMisses	2
3	27	CacheHits	0
3	27	CacheMisses	2
3	28	CacheHits	0
3	28	CacheMisses	2
3	29	CacheHits	0
3	29	CacheMisses	2
3	30	CacheHits	0
