Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	0	0	0	0
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	0	0	0	0
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	0	0	0	0
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	0	0	0	0
0.5	9	combined	Drop	0	0	0	0
0.5	10	combined	Drop	0	0	0	0
0.5	11	combined	Drop	0	0	0	0
0.5	12	combined	Drop	0	0	0	0
0.5	13	combined	Drop	0	0	0	0
0.5	14	combined	Drop	0	0	0	0
0.5	15	combined	Drop	0	0	0	0
0.5	16	combined	Drop	0	0	0	0
0.5	17	combined	Drop	0	0	0	0
0.5	18	combined	Drop	0	0	0	0
0.5	19	combined	Drop	0	0	0	0
0.5	20	combined	Drop	0	0	0	0
0.5	21	combined	Drop	0	0	0	0
0.5	22	combined	Drop	0	0	0	0
0.5	23	combined	Drop	0	0	0	0
0.5	24	combined	Drop	0	0	0	0
0.5	25	combined	Drop	0	0	0	0
0.5	26	combined	Drop	0	0	0	0
0.5	27	combined	Drop	0	0	0	0
0.5	28	combined	Drop	0	0	0	0
0.5	29	combined	Drop	0	0	0	0
0.5	30	combined	Drop	0	0	0	0
0.5	31	combined	Drop	0	0	0	0
0.5	32	combined	Drop	0	0	0	0
0.5	33	combined	Drop	0	0	0	0
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	0	0	0	0
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	0	0	0	0
1	9	combined	Drop	0	0	0	0
1	10	combined	Drop	0	0	0	0
1	11	combined	Drop	0	0	0	0
1	12	combined	Drop	0	0	0	0
1	13	combined	Drop	0	0	0	0
1	14	combined	Drop	0	0	0	0
1	15	combined	Drop	0	0	0	0
1	16	combined	Drop	0	0	0	0
1	17	combined	Drop	0	0	0	0
1	18	combined	Drop	0	0	0	0
1	19	combined	Drop	0	0	0	0
1	20	combined	Drop	0	0	0	0
1	21	combined	Drop	0	0	0	0
1	22	combined	Drop	0	0	0	0
1	23	combined	Drop	0	0	0	0
1	24	combined	Drop	0	0	0	0
1	25	combined	Drop	0	0	0	0
1	26	combined	Drop	0	0	0	0
1	27	combined	Drop	0	0	0	0
1	28	combined	Drop	0	0	0	0
1	29	combined	Drop	0	0	0	0
1	30	combined	Drop	0	0	0	0
1	31	combined	Drop	0	0	0	0
1	32	combined	Drop	0	0	0	0
1	33	combined	Drop	0	0	0	0
1.5	0	combined	Drop	0	0	0	0
1.5	1	combined	Drop	0	0	0	0
1.5	2	combined	Drop	0	0	0	0
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	0	0	0	0
1.5	5	combined	Drop	0	0	0	0
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	0	0	0	0
1.5	9	combined	Drop	0	0	0	0
1.5	10	combined	Drop	0	0	0	0
1.5	11	combined	Drop	0	0	0	0
1.5	12	combined	Drop	0	0	0	0
1.5	13	combined	Drop	0	0	0	0
1.5	14	combined	Drop	0	0	0	0
1.5	15	combined	Drop	0	0	0	0
1.5	16	combined	Drop	0	0	0	0
1.5	17	combined	Drop	0	0	0	0
1.5	18	combined	Drop	0	0	0	0
1.5	19	combined	Drop	0	0	0	0
1.5	20	combined	Drop	0	0	0	0
1.5	21	combined	Drop	0	0	0	0
1.5	22	combined	Drop	0	0	0	0
1.5	23	combined	Drop	0	0	0	0
1.5	24	combined	Drop	0	0	0	0
1.5	25	combined	Drop	0	0	0	0
1.5	26	combined	Drop	0	0	0	0
1.5	27	combined	Drop	0	0	0	0
1.5	28	combined	Drop	0	0	0	0
