"Time","PacketRaw"
1,473
2,282
3,334
4,521
5,538
6,511
7,508
8,487
9,503
10,567
11,520
12,507
13,528
14,493
15,493
16,484
17,489
18,467
19,514
20,488
21,481
22,510
23,546
24,540
25,559
26,534
27,508
28,556
29,638
30,702
31,608
32,619
33,878
34,738
35,810
36,861
37,779
38,840
39,708
40,736
41,957
42,798
43,890
44,958
45,972
46,915
47,847
48,883
49,984
50,679
51,947
52,917
53,860
54,822
55,830
56,1007
57,726
58,796
59,982
60,1012
61,1411
62,1097
63,1362
64,1148
65,1250
66,1373
67,949
68,1378
69,1258
70,1075
71,1569
72,2023
73,1484
74,1583
75,1499
76,1496
77,1421
78,1192
79,1268
80,1050
81,1330
82,1557
83,1598
84,1479
85,1554
86,1480
87,1397
88,1702
89,1535
90,1151
91,1373
92,1157
93,1358
94,1401
95,1248
96,1128
97,1346
98,951
99,1307
100,1186
101,1363
102,1454
103,1216
104,1277
105,1138
106,1258
107,1242
108,1305
109,1398
110,1372
111,1170
112,1458
113,1202
114,1253
115,1080
116,1221
117,1157
118,1375
119,1172
120,1179
121,1585
122,1435
123,1305
124,1306
125,1158
126,1178
127,1510
128,1325
129,1141
130,1411
131,1189
132,1253
133,1156
134,1114
135,1095
136,1073
137,1178
138,1179
139,1225
140,1335
141,1270
142,1162
143,1537
144,1098
145,1132
146,1429
147,1196
148,1126
149,1334
150,1341
151,1311
152,1320
153,1552
154,1191
155,1232
156,1217
157,1287
158,1727
159,1558
160,1283
161,1087
162,987
163,1069
164,1349
165,1245
166,1266
167,1605
168,1230
169,1365
170,1145
171,1243
172,1246
173,1451
174,1477
175,1152
176,1349
177,1213
178,1030
179,1305
180,1173
181,1514
182,1475
183,1340
184,1584
185,1080
186,1548
187,1317
188,1359
189,1152
190,1375
191,1152
192,1373
193,1109
194,1283
195,906
196,1438
197,1027
198,1157
199,1297
200,1202
201,1381
202,1211
203,1004
204,1311
205,1195
206,1275
207,1100
208,1226
209,1070
210,1280
211,1355
212,1014
213,1261
214,1098
215,1155
216,1254
217,1171
218,1366
219,1267
220,1058
221,1246
222,1166
223,1091
224,1387
225,1249
226,1370
227,1237
228,1144
229,1116
230,1126
231,1199
232,1361
233,1041
234,914
235,1401
236,1045
237,1506
238,1355
239,1537
240,1373
241,1553
242,1371
243,1568
244,1569
245,1350
246,1187
247,1541
248,1363
249,1454
250,1427
251,1370
252,1260
253,1362
254,1124
255,1086
256,1511
257,1279
258,1091
259,1387
260,1094
261,1190
262,1316
263,1375
264,1049
265,1487
266,1333
267,1187
268,1471
269,1216
270,1208
271,1042
272,1320
273,1271
274,1272
275,1356
276,1101
277,1168
278,1086
279,1206
280,1391
281,1053
282,1426
283,1314
284,1508
285,1155
286,1243
287,1189
288,1263
289,1194
290,1177
291,1572
292,1261
293,1233
294,1006
295,1287
296,1384
297,1500
298,1185
299,1270
300,1387
301,1658
302,1344
303,1360
304,1380
305,1136
306,1104
307,1283
308,955
309,1385
310,1215
311,1235
312,1448
313,981
314,1096
315,1389
316,1383
317,950
318,916
319,1203
320,1351
321,1690
322,1596
323,1281
324,1155
325,1010
326,1401
327,1174
328,1293
329,1515
330,1289
331,1248
332,1122
333,1377
334,1215
335,1150
336,1077
337,1088
338,1099
339,1177
340,1158
341,1359
342,1161
343,1316
344,1176
345,1475
346,1207
347,1438
348,1182
349,1157
350,1134
351,1043
352,1161
353,1062
354,1232
355,1524
356,1506
357,1274
358,1158
359,1202
