Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
20.0023	3	1	1	LastDelay	0.00233673	2336.73	1	1
20.0023	2	1	1	LastDelay	0.00233678	2336.78	1	1
20.0023	1	1	1	LastDelay	0.00233698	2336.98	1	1
21	1	1	1	LastDelay	0	0	1	1
21	2	1	1	LastDelay	0	0	1	1
21	3	1	1	LastDelay	0	0	1	1
22	1	1	1	LastDelay	0	0	1	1
22	2	1	1	LastDelay	0	0	1	1
22	3	1	1	LastDelay	0	0	1	1
23	1	1	1	LastDelay	0	0	1	1
23	2	1	1	LastDelay	0	0	1	1
23	3	1	1	LastDelay	0	0	1	1
23.0024	0	1	1	LastDelay	0.00240183	2401.83	1	1
24	0	1	1	LastDelay	0	0	1	1
24	1	1	1	LastDelay	0	0	1	1
24	2	1	1	LastDelay	0	0	1	1
24	3	1	1	LastDelay	0	0	1	1
25	0	1	1	LastDelay	0	0	1	1
25	1	1	1	LastDelay	0	0	1	1
25	2	1	1	LastDelay	0	0	1	1
25	3	1	1	LastDelay	0	0	1	1
26	0	1	1	LastDelay	0	0	1	1
26	1	1	1	LastDelay	0	0	1	1
26	2	1	1	LastDelay	0	0	1	1
26	3	1	1	LastDelay	0	0	1	1
26.0022	4	1	1	LastDelay	0.0022327	2232.7	1	1
26.0022	5	1	1	LastDelay	0.00223285	2232.85	1	1
27	0	1	1	LastDelay	0	0	1	1
27	1	1	1	LastDelay	0	0	1	1
27	2	1	1	LastDelay	0	0	1	1
27	3	1	1	LastDelay	0	0	1	1
27	4	1	1	LastDelay	0	0	1	2
27	5	1	1	LastDelay	0	0	1	2
28	0	1	1	LastDelay	0	0	1	1
28	1	1	1	LastDelay	0	0	1	1
28	2	1	1	LastDelay	0	0	1	1
28	3	1	1	LastDelay	0	0	1	1
28	4	1	1	LastDelay	0	0	1	2
28	5	1	1	LastDelay	0	0	1	2
29	0	1	1	LastDelay	0	0	1	1
29	1	1	1	LastDelay	0	0	1	1
29	2	1	1	LastDelay	0	0	1	1
29	3	1	1	LastDelay	0	0	1	1
29	4	1	1	LastDelay	0	0	1	2
29	5	1	1	LastDelay	0	0	1	2
30	0	1	1	LastDelay	0	0	1	1
30	1	1	1	LastDelay	0	0	1	1
30	2	1	1	LastDelay	0	0	1	1
30	3	1	1	LastDelay	0	0	1	1
30	4	1	1	LastDelay	0	0	1	2
30	5	1	1	LastDelay	0	0	1	2
31	0	1	1	LastDelay	0	0	1	1
31	1	1	1	LastDelay	0	0	1	1
31	2	1	1	LastDelay	0	0	1	1
31	3	1	1	LastDelay	0	0	1	1
31	4	1	1	LastDelay	0	0	1	2
31	5	1	1	LastDelay	0	0	1	2
32	0	1	1	LastDelay	0	0	1	1
32	1	1	1	LastDelay	0	0	1	1
32	2	1	1	LastDelay	0	0	1	1
32	3	1	1	LastDelay	0	0	1	1
32	4	1	1	LastDelay	0	0	1	2
32	5	1	1	LastDelay	0	0	1	2
33	0	1	1	LastDelay	0	0	1	1
33	1	1	1	LastDelay	0	0	1	1
33	2	1	1	LastDelay	0	0	1	1
33	3	1	1	LastDelay	0	0	1	1
33	4	1	1	LastDelay	0	0	1	2
33	5	1	1	LastDelay	0	0	1	2
34	0	1	1	LastDelay	0	0	1	1
34	1	1	1	LastDelay	0	0	1	1
34	2	1	1	LastDelay	0	0	1	1
34	3	1	1	LastDelay	0	0	1	1
34	4	1	1	LastDelay	0	0	1	2
34	5	1	1	LastDelay	0	0	1	2
35	0	1	1	LastDelay	0	0	1	1
35	1	1	1	LastDelay	0	0	1	1
35	2	1	1	LastDelay	0	0	1	1
35	3	1	1	LastDelay	0	0	1	1
35	4	1	1	LastDelay	0	0	1	2
35	5	1	1	LastDelay	0	0	1	2
36	0	1	1	LastDelay	0	0	1	1
36	1	1	1	LastDelay	0	0	1	1
36	2	1	1	LastDelay	0	0	1	1
36	3	1	1	LastDelay	0	0	1	1
36	4	1	1	LastDelay	0	0	1	2
36	5	1	1	LastDelay	0	0	1	2
36.0042	8	1	1	LastDelay	0.00422561	4225.6	1	1
36.0042	9	1	1	LastDelay	0.00422578	4225.78	1	1
37	0	1	1	LastDelay	0	0	1	1
37	1	1	1	LastDelay	0	0	1	1
37	2	1	1	LastDelay	0	0	1	1
37	3	1	1	LastDelay	0	0	1	1
37	4	1	1	LastDelay	0	0	1	2
37	5	1	1	LastDelay	0	0	1	2
37	8	1	1	LastDelay	0	0	1	2
37	9	1	1	LastDelay	0	0	1	2
38	0	1	1	LastDelay	0	0	1	1
38	1	1	1	LastDelay	0	0	1	1
38	2	1	1	LastDelay	0	0	1	1
38	3	1	1	LastDelay	0	0	1	1
38	4	1	1	LastDelay	0	0	1	2
38	5	1	1	LastDelay	0	0	1	2
38	8	1	1	LastDelay	0	0	1	2
38	9	1	1	LastDelay	0	0	1	2
39	0	1	1	LastDelay	0	0	1	1
39	1	1	1	LastDelay	0	0	1	1
39	2	1	1	LastDelay	0	0	1	1
39	3	1	1	LastDelay	0	0	1	1
39	4	1	1	LastDelay	0	0	1	2
39	5	1	1	LastDelay	0	0	1	2
39	8	1	1	LastDelay	0	0	1	2
39	9	1	1	LastDelay	0	0	1	2
40	0	1	1	LastDelay	0	0	1	1
40	1	1	1	LastDelay	0	0	1	1
40	2	1	1	LastDelay	0	0	1	1
40	3	1	1	LastDelay	0	0	1	1
40	4	1	1	LastDelay	0	0	1	2
40	5	1	1	LastDelay	0	0	1	2
40	8	1	1	LastDelay	0	0	1	2
