Time	Node	Type	Packets	
1	0	CacheHits	0
1	0	CacheMisses	6
1	1	CacheHits	0
1	1	CacheMisses	7
2	0	CacheHits	0
2	0	CacheMisses	1
2	1	CacheHits	0
2	1	CacheMisses	1
3	0	CacheHits	0
3	0	CacheMisses	1
3	1	CacheHits	0
3	1	CacheMisses	1
4	0	CacheHits	0
4	0	CacheMisses	0
4	1	CacheHits	0
4	1	CacheMisses	1
5	0	CacheHits	0
5	0	CacheMisses	0
5	1	CacheHits	0
5	1	CacheMisses	1
6	0	CacheHits	0
6	0	CacheMisses	0
6	1	CacheHits	0
6	1	CacheMisses	2
7	0	CacheHits	0
7	0	CacheMisses	0
7	1	CacheHits	0
7	1	CacheMisses	1
8	0	CacheHits	0
8	0	CacheMisses	0
8	1	CacheHits	0
8	1	CacheMisses	1
