Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
17.5718	3	0	1	LastDelay	0.643785	643785	1	1
17.9281	3	0	1	LastDelay	0	0	1	0
18.5718	2	0	1	LastDelay	0.00330649	3306.49	1	1
18.7664	6	0	1	LastDelay	0.00331961	3319.61	1	1
18.9314	3	0	1	LastDelay	0.00335836	3358.36	1	1
19.4501	7	0	1	LastDelay	0.226251	226251	1	1
19.4501	1	0	1	LastDelay	0.00338482	3384.82	1	1
19.5685	2	0	1	LastDelay	0	0	1	0
19.7631	6	0	1	LastDelay	0	0	1	0
19.9281	3	0	1	LastDelay	0	0	1	0
20.2239	7	0	1	LastDelay	0	0	1	0
20.4467	1	0	1	LastDelay	0	0	1	0
20.9314	3	0	1	LastDelay	0.00330619	3306.19	1	1
21.2276	7	0	1	LastDelay	0.00371488	3714.88	1	1
21.4501	1	0	1	LastDelay	0.00334543	3345.43	1	1
21.5718	2	0	1	LastDelay	0.00330624	3306.24	1	1
21.5749	4	0	1	LastDelay	0.181434	181434	1	1
21.5953	0	0	1	LastDelay	0.0033198	3319.8	1	1
21.7696	6	0	1	LastDelay	0.00646884	6468.84	1	1
21.9281	3	0	1	LastDelay	0	0	1	0
21.9789	5	0	1	LastDelay	0.00339757	3397.57	1	1
22.2239	7	0	1	LastDelay	0	0	1	0
22.3876	8	0	1	LastDelay	0.00337148	3371.48	1	1
22.3934	4	0	1	LastDelay	0	0	1	0
22.4467	1	0	1	LastDelay	0	0	1	0
22.5685	2	0	1	LastDelay	0	0	1	0
22.592	0	0	1	LastDelay	0	0	1	0
22.7631	6	0	1	LastDelay	0	0	1	0
22.9319	3	0	1	LastDelay	0.00380578	3805.78	1	1
22.9755	5	0	1	LastDelay	0	0	1	0
23.2668	12	0	1	LastDelay	0.0037322	3732.2	1	1
23.3842	8	0	1	LastDelay	0	0	1	0
23.3968	4	0	1	LastDelay	0.00335867	3358.67	1	1
23.45	1	0	1	LastDelay	0.00330622	3306.22	1	1
23.5626	10	0	1	LastDelay	0.00342311	3423.11	1	1
23.5953	0	0	1	LastDelay	0.00331942	3319.42	1	1
23.7664	6	0	1	LastDelay	0.00333215	3332.15	1	1
23.9281	3	0	1	LastDelay	0	0	1	0
23.9789	5	0	1	LastDelay	0.00339743	3397.43	1	1
24.0418	11	0	1	LastDelay	0.00641695	6416.95	1	1
24.2272	7	0	1	LastDelay	0.0033062	3306.2	1	1
24.263	12	0	1	LastDelay	0	0	1	0
24.3876	8	0	1	LastDelay	0.00341047	3410.47	1	1
24.3934	4	0	1	LastDelay	0	0	1	0
24.4467	1	0	1	LastDelay	0	0	1	0
24.5592	10	0	1	LastDelay	0	0	1	0
