Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
18.0035	3	1	14	LastDelay	0.00350664	3506.64	1	1
18.0035	3	1	14	FullDelay	0.00350664	3506.64	1	1
18.0035	2	1	14	LastDelay	0.00350667	3506.67	1	1
18.0035	2	1	14	FullDelay	0.00350667	3506.67	1	1
19.0039	3	1	0	LastDelay	0.00385678	3856.78	1	1
19.0039	3	1	0	FullDelay	19.0039	1.90039e+07	4	1
19.0039	2	1	0	LastDelay	0.00385681	3856.81	1	1
19.0039	2	1	0	FullDelay	19.0039	1.90039e+07	4	1
20.0044	3	1	1	LastDelay	0.00439421	4394.21	1	1
20.0044	3	1	1	FullDelay	19.0044	1.90044e+07	3	1
20.0044	2	1	1	LastDelay	0.00439426	4394.26	1	1
20.0044	2	1	1	FullDelay	19.0044	1.90044e+07	3	1
21.0038	1	1	1	LastDelay	0.0038101	3810.1	1	1
21.0038	1	1	1	FullDelay	20.0038	2.00038e+07	3	1
21.0078	2	1	2	LastDelay	0.00775689	7756.9	1	1
21.0078	2	1	2	FullDelay	18.0078	1.80078e+07	3	1
21.0078	3	1	2	LastDelay	0.00775693	7756.93	1	1
21.0078	3	1	2	FullDelay	18.0078	1.80078e+07	3	1
22.0038	1	1	17	LastDelay	0.0037897	3789.7	1	1
22.0038	1	1	17	FullDelay	0.0037897	3789.7	1	1
22.0075	3	1	3	LastDelay	0.00747857	7478.57	1	1
22.0075	3	1	3	FullDelay	17.0075	1.70075e+07	2	1
23.0038	1	1	0	LastDelay	0.00381152	3811.52	1	1
23.0038	1	1	0	FullDelay	23.0038	2.30038e+07	4	1
23.0069	3	1	4	LastDelay	0.00694583	6945.83	1	1
23.0069	3	1	4	FullDelay	17.0069	1.70069e+07	2	1
26.0087	0	1	21	LastDelay	0.00870263	8702.63	1	1
26.0087	0	1	21	FullDelay	0.00870263	8702.63	1	1
26.0087	4	1	21	LastDelay	0.00870278	8702.78	1	1
26.0087	4	1	21	FullDelay	0.00870278	8702.78	1	1
26.0087	5	1	21	LastDelay	0.00870293	8702.93	1	1
26.0087	5	1	21	FullDelay	0.00870293	8702.93	1	1
27.0027	0	1	0	LastDelay	0.00265971	2659.71	1	1
27.0027	0	1	0	FullDelay	27.0027	2.70027e+07	4	1
27.0054	1	1	5	LastDelay	0.00543296	5432.96	1	1
27.0054	1	1	5	FullDelay	19.0054	1.90054e+07	2	1
27.0086	5	1	0	LastDelay	0.00857791	8577.91	1	1
27.0086	5	1	0	FullDelay	27.0086	2.70086e+07	4	1
28.0038	0	1	1	LastDelay	0.00378891	3788.91	1	1
28.0038	0	1	1	FullDelay	27.0038	2.70038e+07	4	1
28.0038	4	1	1	LastDelay	0.00378898	3788.98	1	1
28.0038	4	1	1	FullDelay	27.0038	2.70038e+07	4	1
28.0038	5	1	1	LastDelay	0.00378909	3789.09	1	1
