+1000000000.0ns POS: x=2.1, y=-1.6, z=0; VEL:0, y=0, z=0
+2000000000.0ns POS: x=2.1, y=-1.6, z=0; VEL:1, y=0, z=0
+3000000000.0ns POS: x=3.1, y=-1.6, z=0; VEL:0, y=0, z=0
+3000000000.0ns POS: x=3.1, y=-1.6, z=0; VEL:2, y=0, z=0
+4000000000.0ns POS: x=5.1, y=-1.6, z=0; VEL:0, y=0, z=0
+4000000000.0ns POS: x=5.1, y=-1.6, z=0; VEL:3, y=0, z=0
+5000000000.0ns POS: x=8.1, y=-1.6, z=0; VEL:0, y=0, z=0
+5000000000.0ns POS: x=8.1, y=-1.6, z=0; VEL:4, y=0, z=0
+6000000000.0ns POS: x=12.1, y=-1.6, z=0; VEL:0, y=0, z=0
+6000000000.0ns POS: x=12.1, y=-1.6, z=0; VEL:5, y=0, z=0
+7000000000.0ns POS: x=17.1, y=-1.6, z=0; VEL:0, y=0, z=0
+7000000000.0ns POS: x=17.1, y=-1.6, z=0; VEL:6, y=0, z=0
+8000000000.0ns POS: x=23.1, y=-1.6, z=0; VEL:0, y=0, z=0
+8000000000.0ns POS: x=23.1, y=-1.6, z=0; VEL:7, y=0, z=0
+9000000000.0ns POS: x=30.1, y=-1.6, z=0; VEL:0, y=0, z=0
+9000000000.0ns POS: x=30.1, y=-1.6, z=0; VEL:8, y=0, z=0
+10000000000.0ns POS: x=38.1, y=-1.6, z=0; VEL:0, y=0, z=0
+10000000000.0ns POS: x=38.1, y=-1.6, z=0; VEL:9, y=0, z=0
+11000000000.0ns POS: x=47.1, y=-1.6, z=0; VEL:0, y=0, z=0
+11000000000.0ns POS: x=47.1, y=-1.6, z=0; VEL:10, y=0, z=0
+12000000000.0ns POS: x=57.1, y=-1.6, z=0; VEL:0, y=0, z=0
+12000000000.0ns POS: x=57.1, y=-1.6, z=0; VEL:11, y=0, z=0
+13000000000.0ns POS: x=68.1, y=-1.6, z=0; VEL:0, y=0, z=0
+13000000000.0ns POS: x=68.1, y=-1.6, z=0; VEL:12, y=0, z=0
+14000000000.0ns POS: x=80.1, y=-1.6, z=0; VEL:0, y=0, z=0
+14000000000.0ns POS: x=80.1, y=-1.6, z=0; VEL:13, y=0, z=0
+15000000000.0ns POS: x=93.1, y=-1.6, z=0; VEL:0, y=0, z=0
+15000000000.0ns POS: x=93.1, y=-1.6, z=0; VEL:14, y=0, z=0
+16000000000.0ns POS: x=107.1, y=-1.6, z=0; VEL:0, y=0, z=0
+16000000000.0ns POS: x=107.1, y=-1.6, z=0; VEL:14.72, y=0, z=0
+17000000000.0ns POS: x=121.82, y=-1.6, z=0; VEL:0, y=0, z=0
+17000000000.0ns POS: x=121.82, y=-1.6, z=0; VEL:14.72, y=0, z=0
+18000000000.0ns POS: x=136.54, y=-1.6, z=0; VEL:14.72, y=0, z=0
+19000000000.0ns POS: x=151.26, y=-1.6, z=0; VEL:14.72, y=0, z=0
+20000000000.0ns POS: x=165.98, y=-1.6, z=0; VEL:14.72, y=0, z=0
+21000000000.0ns POS: x=180.7, y=-1.6, z=0; VEL:14.72, y=0, z=0
+22000000000.0ns POS: x=195.42, y=-1.6, z=0; VEL:14.72, y=0, z=0
+23000000000.0ns POS: x=210.14, y=-1.6, z=0; VEL:14.72, y=0, z=0
+24000000000.0ns POS: x=224.86, y=-1.6, z=0; VEL:14.72, y=0, z=0
+25000000000.0ns POS: x=239.58, y=-1.6, z=0; VEL:14.72, y=0, z=0
+26000000000.0ns POS: x=254.3, y=-1.6, z=0; VEL:14.72, y=0, z=0
+27000000000.0ns POS: x=269.02, y=-1.6, z=0; VEL:14.72, y=0, z=0
+28000000000.0ns POS: x=283.74, y=-1.6, z=0; VEL:14.72, y=0, z=0
+29000000000.0ns POS: x=298.46, y=-1.6, z=0; VEL:14.72, y=0, z=0
+30000000000.0ns POS: x=313.18, y=-1.6, z=0; VEL:14.72, y=0, z=0
+31000000000.0ns POS: x=327.9, y=-1.6, z=0; VEL:14.72, y=0, z=0
+32000000000.0ns POS: x=342.62, y=-1.6, z=0; VEL:14.72, y=0, z=0
+33000000000.0ns POS: x=357.34, y=-1.6, z=0; VEL:14.72, y=0, z=0
+34000000000.0ns POS: x=372.06, y=-1.6, z=0; VEL:14.72, y=0, z=0
+35000000000.0ns POS: x=386.78, y=-1.6, z=0; VEL:14.72, y=0, z=0
+36000000000.0ns POS: x=401.5, y=-1.6, z=0; VEL:14.72, y=0, z=0
+37000000000.0ns POS: x=416.22, y=-1.6, z=0; VEL:14.72, y=0, z=0
+38000000000.0ns POS: x=430.94, y=-1.6, z=0; VEL:14.72, y=0, z=0
+39000000000.0ns POS: x=445.66, y=-1.6, z=0; VEL:14.72, y=0, z=0
+40000000000.0ns POS: x=460.38, y=-1.6, z=0; VEL:14.72, y=0, z=0
+41000000000.0ns POS: x=475.1, y=-1.6, z=0; VEL:14.72, y=0, z=0
+42005434782.0ns POS: x=489.9, y=-1.6, z=0; VEL:0, y=0, z=0
