Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	257	netdev://[00:00:00:00:00:01]	InInterests	0.8	0.028125	1	0.0351562
1	0	257	netdev://[00:00:00:00:00:01]	OutInterests	1.6	0.05625	2	0.0703125
1	0	257	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	0	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	0	258	appFace://	OutInterests	0	0	0	0
1	0	258	appFace://	InData	0	0	0	0
1	0	258	appFace://	OutData	0	0	0	0
1	0	258	appFace://	InNacks	0	0	0	0
1	0	258	appFace://	OutNacks	0	0	0	0
1	0	258	appFace://	InSatisfiedInterests	0	0	0	0
1	0	258	appFace://	InTimedOutInterests	0	0	0	0
1	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	0	258	appFace://	OutTimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	InInterests	5.6	0.196875	7	0.246094
1	1	257	netdev://[00:00:00:00:00:02]	OutInterests	1.6	0.05625	2	0.0703125
1	1	257	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	OutData	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
1	1	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	1	258	appFace://	OutInterests	0	0	0	0
1	1	258	appFace://	InData	0	0	0	0
1	1	258	appFace://	OutData	0	0	0	0
1	1	258	appFace://	InNacks	0	0	0	0
1	1	258	appFace://	OutNacks	0	0	0	0
1	1	258	appFace://	InSatisfiedInterests	0	0	0	0
1	1	258	appFace://	InTimedOutInterests	0	0	0	0
1	1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	InInterests	4.8	0.16875	6	0.210938
1	2	257	netdev://[00:00:00:00:00:03]	OutInterests	1.6	0.05625	2	0.0703125
1	2	257	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
1	2	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	2	258	appFace://	OutInterests	0	0	0	0
1	2	258	appFace://	InData	0	0	0	0
1	2	258	appFace://	OutData	0	0	0	0
1	2	258	appFace://	InNacks	0	0	0	0
1	2	258	appFace://	OutNacks	0	0	0	0
1	2	258	appFace://	InSatisfiedInterests	0	0	0	0
1	2	258	appFace://	InTimedOutInterests	0	0	0	0
1	2	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	2	258	appFace://	OutTimedOutInterests	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	InInterests	0.8	0.028125	1	0.0351562
1	3	257	netdev://[00:00:00:00:00:04]	OutInterests	1.6	0.05625	2	0.0703125
1	3	257	netdev://[00:00:00:00:00:04]	InData	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	OutData	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	InNacks	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	0	0	0	0
1	3	257	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0	0	0	0
1	3	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	3	258	appFace://	OutInterests	0	0	0	0
1	3	258	appFace://	InData	0	0	0	0
1	3	258	appFace://	OutData	0	0	0	0
1	3	258	appFace://	InNacks	0	0	0	0
1	3	258	appFace://	OutNacks	0	0	0	0
1	3	258	appFace://	InSatisfiedInterests	0	0	0	0
1	3	258	appFace://	InTimedOutInterests	0	0	0	0
1	3	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	3	258	appFace://	OutTimedOutInterests	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	InInterests	5.6	0.196875	7	0.246094
1	4	257	netdev://[00:00:00:00:00:05]	OutInterests	1.6	0.05625	2	0.0703125
1	4	257	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
1	4	257	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
1	4	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	4	258	appFace://	OutInterests	0	0	0	0
1	4	258	appFace://	InData	0	0	0	0
1	4	258	appFace://	OutData	0	0	0	0
1	4	258	appFace://	InNacks	0	0	0	0
1	4	258	appFace://	OutNacks	0	0	0	0
1	4	258	appFace://	InSatisfiedInterests	0	0	0	0
1	4	258	appFace://	InTimedOutInterests	0	0	0	0
1	4	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	4	258	appFace://	OutTimedOutInterests	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	InInterests	3.2	0.1125	4	0.140625
1	5	257	netdev://[00:00:00:00:00:06]	OutInterests	1.6	0.05625	2	0.0703125
1	5	257	netdev://[00:00:00:00:00:06]	InData	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	OutData	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	InNacks	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	OutNacks	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	InSatisfiedInterests	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	InTimedOutInterests	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	OutSatisfiedInterests	0	0	0	0
1	5	257	netdev://[00:00:00:00:00:06]	OutTimedOutInterests	0	0	0	0
1	5	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	5	258	appFace://	OutInterests	0	0	0	0
1	5	258	appFace://	InData	0	0	0	0
1	5	258	appFace://	OutData	0	0	0	0
1	5	258	appFace://	InNacks	0	0	0	0
1	5	258	appFace://	OutNacks	0	0	0	0
1	5	258	appFace://	InSatisfiedInterests	0	0	0	0
1	5	258	appFace://	InTimedOutInterests	0	0	0	0
1	5	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	5	258	appFace://	OutTimedOutInterests	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	InInterests	4.8	0.16875	6	0.210938
1	6	257	netdev://[00:00:00:00:00:07]	OutInterests	1.6	0.05625	2	0.0703125
1	6	257	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	OutData	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	InNacks	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	OutNacks	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	InSatisfiedInterests	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	InTimedOutInterests	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	OutSatisfiedInterests	0	0	0	0
1	6	257	netdev://[00:00:00:00:00:07]	OutTimedOutInterests	0	0	0	0
1	6	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	6	258	appFace://	OutInterests	0	0	0	0
1	6	258	appFace://	InData	0	0	0	0
1	6	258	appFace://	OutData	0	0	0	0
1	6	258	appFace://	InNacks	0	0	0	0
1	6	258	appFace://	OutNacks	0	0	0	0
1	6	258	appFace://	InSatisfiedInterests	0	0	0	0
1	6	258	appFace://	InTimedOutInterests	0	0	0	0
1	6	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	6	258	appFace://	OutTimedOutInterests	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	InInterests	0.8	0.028125	1	0.0351562
1	7	257	netdev://[00:00:00:00:00:08]	OutInterests	1.6	0.05625	2	0.0703125
1	7	257	netdev://[00:00:00:00:00:08]	InData	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	OutData	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	InNacks	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	OutNacks	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	InSatisfiedInterests	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	InTimedOutInterests	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	OutSatisfiedInterests	0	0	0	0
1	7	257	netdev://[00:00:00:00:00:08]	OutTimedOutInterests	0	0	0	0
1	7	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	7	258	appFace://	OutInterests	0	0	0	0
1	7	258	appFace://	InData	0	0	0	0
1	7	258	appFace://	OutData	0	0	0	0
1	7	258	appFace://	InNacks	0	0	0	0
1	7	258	appFace://	OutNacks	0	0	0	0
1	7	258	appFace://	InSatisfiedInterests	0	0	0	0
1	7	258	appFace://	InTimedOutInterests	0	0	0	0
1	7	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	7	258	appFace://	OutTimedOutInterests	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	InInterests	0.8	0.028125	1	0.0351562
1	8	257	netdev://[00:00:00:00:00:09]	OutInterests	1.6	0.05625	2	0.0703125
1	8	257	netdev://[00:00:00:00:00:09]	InData	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	0	0	0	0
1	8	257	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
1	8	258	appFace://	InInterests	1.6	0.05625	2	0.0703125
1	8	258	appFace://	OutInterests	0	0	0	0
1	8	258	appFace://	InData	0	0	0	0
1	8	258	appFace://	OutData	0	0	0	0
1	8	258	appFace://	InNacks	0	0	0	0
1	8	258	appFace://	OutNacks	0	0	0	0
